rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation
1,6529,1.0,1.0,43.12062454223633,1.7230044603347778
2,8504,1.0,1.0,1.5600022077560425,0.41798466444015503
3,8313,1.0,1.0,1.506201148033142,0.6365360617637634
4,6384,1.0,1.0,1.178322434425354,0.5564910769462585
5,9819,1.0,1.0,1.0589728355407715,0.3379194140434265
6,5504,1.0,1.0,1.0234135389328003,0.3906837999820709
7,88,1.0,1.0,0.8586267232894897,0.35086390376091003
8,9960,1.0,1.0,0.8426671624183655,0.38616490364074707
9,7181,1.0,1.0,0.7822648286819458,0.3243477940559387
10,7876,1.0,1.0,0.729159414768219,0.247726708650589
11,3147,1.0,1.0,0.7065466046333313,0.26320967078208923
12,4594,1.0,1.0,0.667107105255127,0.26667729020118713
13,4513,1.0,1.0,0.6605689525604248,0.20736807584762573
14,5490,1.0,1.0,0.6315084099769592,0.210245281457901
15,5356,1.0,1.0,0.6207200288772583,0.30985623598098755
16,4045,1.0,1.0,0.6090940833091736,0.290892630815506
17,4360,1.0,1.0,0.6066545248031616,0.3288312554359436
18,1569,1.0,1.0,0.5986790060997009,0.48080238699913025
19,10200,1.0,1.0,0.5936866402626038,0.33430778980255127
20,3055,1.0,1.0,0.5872367024421692,0.2650631368160248
21,2402,1.0,1.0,0.5862510800361633,0.34411150217056274
22,7533,1.0,1.0,0.5797392725944519,0.21270324289798737
23,6109,1.0,1.0,0.5747924447059631,0.46877536177635193
24,7731,1.0,1.0,0.5511015057563782,0.27195510268211365
25,946,1.0,1.0,0.549506664276123,0.3317696154117584
26,8228,1.0,1.0,0.5472591519355774,0.21793924272060394
27,7913,1.0,1.0,0.5416550636291504,0.28172579407691956
28,7981,1.0,1.0,0.5396342277526855,0.29674407839775085
29,7914,1.0,1.0,0.5249276757240295,0.1946445256471634
30,522,1.0,1.0,0.5144709944725037,0.22201178967952728
31,5979,1.0,1.0,0.5093648433685303,0.20595358312129974
32,9486,1.0,1.0,0.498304158449173,0.312465101480484
33,5141,1.0,1.0,0.493217408657074,0.3552820086479187
34,4278,1.0,1.0,0.4919269382953644,0.24523796141147614
35,3816,1.0,1.0,0.49071764945983887,0.2706196904182434
36,739,1.0,1.0,0.48596814274787903,0.22348615527153015
37,1781,1.0,1.0,0.4762842357158661,0.23880241811275482
38,5902,1.0,1.0,0.4745900630950928,0.42408159375190735
39,9019,1.0,1.0,0.4718310236930847,0.19482862949371338
40,8751,1.0,1.0,0.4629853367805481,0.25493213534355164
41,8001,1.0,1.0,0.45736566185951233,0.3235577344894409
42,8090,1.0,1.0,0.4541515111923218,0.27081844210624695
43,9998,1.0,1.0,0.44782787561416626,0.3494611084461212
44,9422,1.0,1.0,0.42400020360946655,0.16429390013217926
45,9028,1.0,1.0,0.42286932468414307,0.17285345494747162
46,8878,1.0,1.0,0.4127713739871979,0.22061744332313538
47,9216,1.0,1.0,0.4075825810432434,0.16400329768657684
48,7594,1.0,1.0,0.404255747795105,0.3179738521575928
49,4070,1.0,1.0,0.40169066190719604,0.18272683024406433
50,3868,1.0,1.0,0.3935405910015106,0.313311904668808
51,4871,1.0,1.0,0.38199207186698914,0.37442144751548767
52,5122,1.0,1.0,0.3766299784183502,0.14341780543327332
53,6732,1.0,1.0,0.37575000524520874,0.18239036202430725
54,8815,1.0,1.0,0.3682766258716583,0.2081480622291565
55,6911,1.0,1.0,0.3648856580257416,0.17385706305503845
56,10132,1.0,1.0,0.3630751371383667,0.17063969373703003
57,6728,1.0,1.0,0.35774126648902893,0.1884332001209259
58,3599,1.0,1.0,0.35727429389953613,0.1975770890712738
