rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation
1,3636,1.0,1.0,41.97106170654297,1.3125663995742798
2,823,1.0,1.0,0.5361007452011108,0.2131933569908142
3,2038,1.0,1.0,0.4211210608482361,0.2383466511964798
4,3204,1.0,1.0,0.3899499773979187,0.2217048555612564
5,175,1.0,1.0,0.37043502926826477,0.19767387211322784
6,2573,1.0,1.0,0.36596354842185974,0.18145568668842316
7,548,1.0,1.0,0.3084588050842285,0.17426931858062744
8,1784,1.0,1.0,0.2897309362888336,0.1389884054660797
9,2214,1.0,1.0,0.26157188415527344,0.18315276503562927
10,341,1.0,1.0,0.2212853729724884,0.12915512919425964
11,1867,1.0,1.0,0.22088703513145447,0.138676717877388
12,4230,1.0,1.0,0.20982225239276886,0.1284799873828888
13,4200,1.0,1.0,0.12860515713691711,0.0500861331820488
14,1934,0.9990000128746033,0.9990000128746033,0.4275868833065033,0.2512083351612091
15,4952,0.9990000128746033,0.9990000128746033,0.30085667967796326,0.1515314280986786
16,345,0.9990000128746033,0.9990000128746033,0.27713316679000854,0.14187820255756378
17,4356,0.9990000128746033,0.9990000128746033,0.2683156132698059,0.19322247803211212
18,4684,0.9990000128746033,0.9990000128746033,0.25076404213905334,0.15864098072052002
19,687,0.9990000128746033,0.9990000128746033,0.2398618459701538,0.16003336012363434
20,200,0.9990000128746033,0.9990000128746033,0.199213445186615,0.1417287439107895
21,2929,0.9990000128746033,0.9990000128746033,0.19089637696743011,0.11218728870153427
22,3932,0.9980000257492065,0.9980000257492065,0.3380191922187805,0.2412790060043335
23,1069,0.9980000257492065,0.9980000257492065,0.24049323797225952,0.1676653027534485
24,1812,0.9980000257492065,0.9980000257492065,0.22237612307071686,0.1760389357805252
25,2367,0.9980000257492065,0.9980000257492065,0.18231429159641266,0.10546005517244339
26,3381,0.9980000257492065,0.9980000257492065,0.14654847979545593,0.08125466853380203
27,576,0.996999979019165,0.996999979019165,0.29109451174736023,0.18570151925086975
28,3865,0.996999979019165,0.996999979019165,0.2756999433040619,0.2177429497241974
